FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.534138858,0.417266190,0.673913062
0.125787579,0.534209430,0.417266190,0.673913062
0.126575158,0.534209430,0.417266190,0.673913062
0.127362736,0.534209430,0.417266190,0.673913062
0.128150315,0.534209430,0.417266190,0.673913062
0.128937894,0.534209430,0.417266190,0.673913062
0.129725473,0.534209430,0.417266190,0.673913062
0.130513051,0.534209430,0.417266190,0.673913062
0.131300630,0.534209430,0.417266190,0.673913062
0.132088209,0.534209430,0.417266190,0.673913062
0.132875788,0.534209430,0.417266190,0.673913062
0.133663366,0.534209430,0.417266190,0.673913062
0.134450945,0.534209430,0.417266190,0.673913062
0.135238524,0.534209430,0.417266190,0.673913062
0.136026103,0.534209430,0.417266190,0.673913062
0.136813681,0.541039526,0.424657524,0.693181813
0.137601260,0.541039526,0.424657524,0.693181813
0.138388839,0.541039526,0.424657524,0.693181813
0.139176418,0.541039526,0.424657524,0.693181813
0.139963996,0.541039526,0.424657524,0.693181813
0.140751575,0.541039526,0.424657524,0.693181813
0.141539154,0.541039526,0.424657524,0.693181813
0.142326733,0.541039526,0.424657524,0.693181813
0.143114311,0.541039526,0.424657524,0.693181813
0.143901890,0.541039526,0.424657524,0.693181813
0.144689469,0.541039526,0.424657524,0.693181813
0.145477048,0.541039526,0.424657524,0.693181813
0.146264626,0.541039526,0.424657524,0.693181813
0.147052205,0.541039526,0.424657524,0.693181813
0.147839784,0.548968852,0.435114503,0.697916687
0.148627363,0.548968852,0.435114503,0.697916687
0.149414941,0.548968852,0.435114503,0.697916687
0.150202520,0.548968852,0.435114503,0.697916687
0.150990099,0.548968852,0.435114503,0.697916687
0.151777678,0.548968852,0.435114503,0.697916687
0.152565257,0.548968852,0.435114503,0.697916687
0.153352835,0.548968852,0.435114503,0.697916687
0.154140414,0.548968852,0.435114503,0.697916687
0.154927993,0.548968852,0.435114503,0.697916687
0.155715572,0.548968852,0.435114503,0.697916687
0.156503150,0.548968852,0.435114503,0.697916687
0.157290729,0.548968852,0.435114503,0.697916687
0.158078308,0.548968852,0.435114503,0.697916687
0.158865887,0.548968852,0.435114503,0.697916687
0.159653465,0.556813717,0.442748100,0.709090889
0.160441044,0.556813717,0.442748100,0.709090889
0.161228623,0.556813717,0.442748100,0.709090889
0.162016202,0.556813717,0.442748100,0.709090889
0.162803780,0.556813717,0.442748100,0.709090889
0.163591359,0.556813717,0.442748100,0.709090889
0.164378938,0.556813717,0.442748100,0.709090889
0.165166517,0.556813717,0.442748100,0.709090889
0.165954095,0.556813717,0.442748100,0.709090889
0.166741674,0.556813717,0.442748100,0.709090889
0.167529253,0.556813717,0.442748100,0.709090889
0.168316832,0.556813717,0.442748100,0.709090889
0.169104410,0.556813717,0.442748100,0.709090889
0.169891989,0.556813717,0.442748100,0.709090889
0.170679568,0.565142453,0.445205480,0.719298244
0.171467147,0.565142453,0.445205480,0.719298244
0.172254725,0.565142453,0.445205480,0.719298244
0.173042304,0.565142453,0.445205480,0.719298244
0.173829883,0.565142453,0.445205480,0.719298244
0.174617462,0.565142453,0.445205480,0.719298244
0.175405041,0.565142453,0.445205480,0.719298244
0.176192619,0.565142453,0.445205480,0.719298244
0.176980198,0.565142453,0.445205480,0.719298244
0.177767777,0.565142453,0.445205480,0.719298244
0.178555356,0.565142453,0.445205480,0.719298244
0.179342934,0.565142453,0.445205480,0.719298244
0.180130513,0.565142453,0.445205480,0.719298244
0.180918092,0.565142453,0.445205480,0.719298244
0.181705671,0.565142453,0.445205480,0.719298244
0.182493249,0.573682904,0.450819671,0.731707335
0.183280828,0.573682904,0.450819671,0.731707335
0.184068407,0.573682904,0.450819671,0.731707335
0.184855986,0.573682904,0.450819671,0.731707335
0.185643564,0.573682904,0.450819671,0.731707335
0.186431143,0.573682904,0.450819671,0.731707335
0.187218722,0.573682904,0.450819671,0.731707335
0.188006301,0.573682904,0.450819671,0.731707335
0.188793879,0.573682904,0.450819671,0.731707335
0.189581458,0.573682904,0.450819671,0.731707335
0.190369037,0.573682904,0.450819671,0.731707335
0.191156616,0.573682904,0.450819671,0.731707335
0.191944194,0.573682904,0.450819671,0.731707335
0.192731773,0.573682904,0.450819671,0.731707335
0.193519352,0.582742810,0.457142860,0.737288117
0.194306931,0.582742810,0.457142860,0.737288117
0.195094509,0.582742810,0.457142860,0.737288117
0.195882088,0.582742810,0.457142860,0.737288117
0.196669667,0.582742810,0.457142860,0.737288117
0.197457246,0.582742810,0.457142860,0.737288117
0.198244824,0.582742810,0.457142860,0.737288117
0.199032403,0.582742810,0.457142860,0.737288117
0.199819982,0.582742810,0.457142860,0.737288117
0.200607561,0.582742810,0.457142860,0.737288117
0.201395140,0.582742810,0.457142860,0.737288117
0.202182718,0.582742810,0.457142860,0.737288117
0.202970297,0.582742810,0.457142860,0.737288117
0.203757876,0.582742810,0.457142860,0.737288117
0.204545455,0.582742810,0.457142860,0.737288117
0.205333033,0.590913177,0.461538464,0.747967482
0.206120612,0.590913177,0.461538464,0.747967482
0.206908191,0.590913177,0.461538464,0.747967482
0.207695770,0.590913177,0.461538464,0.747967482
0.208483348,0.590913177,0.461538464,0.747967482
0.209270927,0.590913177,0.461538464,0.747967482
0.210058506,0.590913177,0.461538464,0.747967482
0.210846085,0.590913177,0.461538464,0.747967482
0.211633663,0.590913177,0.461538464,0.747967482
0.212421242,0.590913177,0.461538464,0.747967482
0.213208821,0.590913177,0.461538464,0.747967482
0.213996400,0.590913177,0.461538464,0.747967482
0.214783978,0.590913177,0.461538464,0.747967482
0.215571557,0.590913177,0.461538464,0.747967482
0.216359136,0.599202454,0.467289716,0.755905509
0.217146715,0.599202454,0.467289716,0.755905509
0.217934293,0.599202454,0.467289716,0.755905509
0.218721872,0.599202454,0.467289716,0.755905509
0.219509451,0.599202454,0.467289716,0.755905509
0.220297030,0.599202454,0.467289716,0.755905509
0.221084608,0.599202454,0.467289716,0.755905509
0.221872187,0.599202454,0.467289716,0.755905509
0.222659766,0.599202454,0.467289716,0.755905509
0.223447345,0.599202454,0.467289716,0.755905509
0.224234923,0.599202454,0.467289716,0.755905509
0.225022502,0.599202454,0.467289716,0.755905509
0.225810081,0.599202454,0.467289716,0.755905509
0.226597660,0.599202454,0.467289716,0.755905509
0.227385239,0.607868552,0.468253970,0.763636351
0.228172817,0.607868552,0.468253970,0.763636351
0.228960396,0.607868552,0.468253970,0.763636351
0.229747975,0.607868552,0.468253970,0.763636351
0.230535554,0.607868552,0.468253970,0.763636351
0.231323132,0.607868552,0.468253970,0.763636351
0.232110711,0.607868552,0.468253970,0.763636351
0.232898290,0.607868552,0.468253970,0.763636351
0.233685869,0.607868552,0.468253970,0.763636351
0.234473447,0.607868552,0.468253970,0.763636351
0.235261026,0.607868552,0.468253970,0.763636351
0.236048605,0.607868552,0.468253970,0.763636351
0.236836184,0.607868552,0.468253970,0.763636351
0.237623762,0.607868552,0.468253970,0.763636351
0.238411341,0.607868552,0.468253970,0.763636351
0.239198920,0.615861773,0.481203020,0.765306115
0.239986499,0.615861773,0.481203020,0.765306115
0.240774077,0.615861773,0.481203020,0.765306115
0.241561656,0.615861773,0.481203020,0.765306115
0.242349235,0.615861773,0.481203020,0.765306115
0.243136814,0.615861773,0.481203020,0.765306115
0.243924392,0.615861773,0.481203020,0.765306115
0.244711971,0.615861773,0.481203020,0.765306115
0.245499550,0.615861773,0.481203020,0.765306115
0.246287129,0.615861773,0.481203020,0.765306115
0.247074707,0.615861773,0.481203020,0.765306115
0.247862286,0.615861773,0.481203020,0.765306115
0.248649865,0.615861773,0.481203020,0.765306115
0.249437444,0.615861773,0.481203020,0.765306115
0.250225023,0.623904526,0.482993186,0.771186411
0.251012601,0.623904526,0.482993186,0.771186411
0.251800180,0.623904526,0.482993186,0.771186411
0.252587759,0.623904526,0.482993186,0.771186411
0.253375338,0.623904526,0.482993186,0.771186411
0.254162916,0.623904526,0.482993186,0.771186411
0.254950495,0.623904526,0.482993186,0.771186411
0.255738074,0.623904526,0.482993186,0.771186411
0.256525653,0.623904526,0.482993186,0.771186411
0.257313231,0.623904526,0.482993186,0.771186411
0.258100810,0.623904526,0.482993186,0.771186411
0.258888389,0.623904526,0.482993186,0.771186411
0.259675968,0.623904526,0.482993186,0.771186411
0.260463546,0.623904526,0.482993186,0.771186411
0.261251125,0.623904526,0.482993186,0.771186411
0.262038704,0.630385160,0.489510477,0.773109257
0.262826283,0.630385160,0.489510477,0.773109257
0.263613861,0.630385160,0.489510477,0.773109257
0.264401440,0.630385160,0.489510477,0.773109257
0.265189019,0.630385160,0.489510477,0.773109257
0.265976598,0.630385160,0.489510477,0.773109257
0.266764176,0.630385160,0.489510477,0.773109257
0.267551755,0.630385160,0.489510477,0.773109257
0.268339334,0.630385160,0.489510477,0.773109257
0.269126913,0.630385160,0.489510477,0.773109257
0.269914491,0.630385160,0.489510477,0.773109257
0.270702070,0.630385160,0.489510477,0.773109257
0.271489649,0.630385160,0.489510477,0.773109257
0.272277228,0.630385160,0.489510477,0.773109257
0.273064806,0.637264490,0.503649652,0.780487776
0.273852385,0.637264490,0.503649652,0.780487776
0.274639964,0.637264490,0.503649652,0.780487776
0.275427543,0.637264490,0.503649652,0.780487776
0.276215122,0.637264490,0.503649652,0.780487776
0.277002700,0.637264490,0.503649652,0.780487776
0.277790279,0.637264490,0.503649652,0.780487776
0.278577858,0.637264490,0.503649652,0.780487776
0.279365437,0.637264490,0.503649652,0.780487776
0.280153015,0.637264490,0.503649652,0.780487776
0.280940594,0.637264490,0.503649652,0.780487776
0.281728173,0.637264490,0.503649652,0.780487776
0.282515752,0.637264490,0.503649652,0.780487776
0.283303330,0.637264490,0.503649652,0.780487776
0.284090909,0.637264490,0.503649652,0.780487776
0.284878488,0.643445194,0.504132211,0.781818211
0.285666067,0.643445194,0.504132211,0.781818211
0.286453645,0.643445194,0.504132211,0.781818211
0.287241224,0.643445194,0.504132211,0.781818211
0.288028803,0.643445194,0.504132211,0.781818211
0.288816382,0.643445194,0.504132211,0.781818211
0.289603960,0.643445194,0.504132211,0.781818211
0.290391539,0.643445194,0.504132211,0.781818211
0.291179118,0.643445194,0.504132211,0.781818211
0.291966697,0.643445194,0.504132211,0.781818211
0.292754275,0.643445194,0.504132211,0.781818211
0.293541854,0.643445194,0.504132211,0.781818211
0.294329433,0.643445194,0.504132211,0.781818211
0.295117012,0.643445194,0.504132211,0.781818211
0.295904590,0.649479866,0.514018714,0.784090936
0.296692169,0.649479866,0.514018714,0.784090936
0.297479748,0.649479866,0.514018714,0.784090936
0.298267327,0.649479866,0.514018714,0.784090936
