FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.498886079,0.428571433,0.570776284
0.125787579,0.498886079,0.428571433,0.570776284
0.126575158,0.498886079,0.428571433,0.570776284
0.127362736,0.498886079,0.428571433,0.570776284
0.128150315,0.498886079,0.428571433,0.570776284
0.128937894,0.498886079,0.428571433,0.570776284
0.129725473,0.502595782,0.434262961,0.575342476
0.130513051,0.502595782,0.434262961,0.575342476
0.131300630,0.502595782,0.434262961,0.575342476
0.132088209,0.502595782,0.434262961,0.575342476
0.132875788,0.502595782,0.434262961,0.575342476
0.133663366,0.502595782,0.434262961,0.575342476
0.134450945,0.502595782,0.434262961,0.575342476
0.135238524,0.505821049,0.437007874,0.577981651
0.136026103,0.505821049,0.437007874,0.577981651
0.136813681,0.505821049,0.437007874,0.577981651
0.137601260,0.505821049,0.437007874,0.577981651
0.138388839,0.505821049,0.437007874,0.577981651
0.139176418,0.505821049,0.437007874,0.577981651
0.139963996,0.505821049,0.437007874,0.577981651
0.140751575,0.508880138,0.442307681,0.578947365
0.141539154,0.508880138,0.442307681,0.578947365
0.142326733,0.508880138,0.442307681,0.578947365
0.143114311,0.508880138,0.442307681,0.578947365
0.143901890,0.508880138,0.442307681,0.578947365
0.144689469,0.508880138,0.442307681,0.578947365
0.145477048,0.508880138,0.442307681,0.578947365
0.146264626,0.511639237,0.443089426,0.582608700
0.147052205,0.511639237,0.443089426,0.582608700
0.147839784,0.511639237,0.443089426,0.582608700
0.148627363,0.511639237,0.443089426,0.582608700
0.149414941,0.511639237,0.443089426,0.582608700
0.150202520,0.511639237,0.443089426,0.582608700
0.150990099,0.511639237,0.443089426,0.582608700
0.151777678,0.513840735,0.444015443,0.585253477
0.152565257,0.513840735,0.444015443,0.585253477
0.153352835,0.513840735,0.444015443,0.585253477
0.154140414,0.513840735,0.444015443,0.585253477
0.154927993,0.513840735,0.444015443,0.585253477
0.155715572,0.513840735,0.444015443,0.585253477
0.156503150,0.513840735,0.444015443,0.585253477
0.157290729,0.513840735,0.444015443,0.585253477
0.158078308,0.516014159,0.447154462,0.585903108
0.158865887,0.516014159,0.447154462,0.585903108
0.159653465,0.516014159,0.447154462,0.585903108
0.160441044,0.516014159,0.447154462,0.585903108
0.161228623,0.516014159,0.447154462,0.585903108
0.162016202,0.516014159,0.447154462,0.585903108
0.162803780,0.516014159,0.447154462,0.585903108
0.163591359,0.517696917,0.449799210,0.589641452
0.164378938,0.517696917,0.449799210,0.589641452
0.165166517,0.517696917,0.449799210,0.589641452
0.165954095,0.517696917,0.449799210,0.589641452
0.166741674,0.517696917,0.449799210,0.589641452
0.167529253,0.517696917,0.449799210,0.589641452
0.168316832,0.517696917,0.449799210,0.589641452
0.169104410,0.519518852,0.451492548,0.592307687
0.169891989,0.519518852,0.451492548,0.592307687
0.170679568,0.519518852,0.451492548,0.592307687
0.171467147,0.519518852,0.451492548,0.592307687
0.172254725,0.519518852,0.451492548,0.592307687
0.173042304,0.519518852,0.451492548,0.592307687
0.173829883,0.519518852,0.451492548,0.592307687
0.174617462,0.521222532,0.454545468,0.592307687
0.175405041,0.521222532,0.454545468,0.592307687
0.176192619,0.521222532,0.454545468,0.592307687
0.176980198,0.521222532,0.454545468,0.592307687
0.177767777,0.521222532,0.454545468,0.592307687
0.178555356,0.521222532,0.454545468,0.592307687
0.179342934,0.521222532,0.454545468,0.592307687
0.180130513,0.522811174,0.454935610,0.592307687
0.180918092,0.522811174,0.454935610,0.592307687
0.181705671,0.522811174,0.454935610,0.592307687
0.182493249,0.522811174,0.454935610,0.592307687
0.183280828,0.522811174,0.454935610,0.592307687
0.184068407,0.522811174,0.454935610,0.592307687
0.184855986,0.522811174,0.454935610,0.592307687
0.185643564,0.524437845,0.455197126,0.593750000
0.186431143,0.524437845,0.455197126,0.593750000
0.187218722,0.524437845,0.455197126,0.593750000
0.188006301,0.524437845,0.455197126,0.593750000
0.188793879,0.524437845,0.455197126,0.593750000
0.189581458,0.524437845,0.455197126,0.593750000
0.190369037,0.524437845,0.455197126,0.593750000
0.191156616,0.526044667,0.455223888,0.596153855
0.191944194,0.526044667,0.455223888,0.596153855
0.192731773,0.526044667,0.455223888,0.596153855
0.193519352,0.526044667,0.455223888,0.596153855
0.194306931,0.526044667,0.455223888,0.596153855
0.195094509,0.526044667,0.455223888,0.596153855
0.195882088,0.526044667,0.455223888,0.596153855
0.196669667,0.527630508,0.456521749,0.598290622
0.197457246,0.527630508,0.456521749,0.598290622
0.198244824,0.527630508,0.456521749,0.598290622
0.199032403,0.527630508,0.456521749,0.598290622
0.199819982,0.527630508,0.456521749,0.598290622
0.200607561,0.527630508,0.456521749,0.598290622
0.201395140,0.527630508,0.456521749,0.598290622
0.202182718,0.527630508,0.456521749,0.598290622
0.202970297,0.529333830,0.457627118,0.601941764
0.203757876,0.529333830,0.457627118,0.601941764
0.204545455,0.529333830,0.457627118,0.601941764
0.205333033,0.529333830,0.457627118,0.601941764
0.206120612,0.529333830,0.457627118,0.601941764
0.206908191,0.529333830,0.457627118,0.601941764
0.207695770,0.529333830,0.457627118,0.601941764
0.208483348,0.530652404,0.458781362,0.602564096
0.209270927,0.530652404,0.458781362,0.602564096
0.210058506,0.530652404,0.458781362,0.602564096
0.210846085,0.530652404,0.458781362,0.602564096
0.211633663,0.530652404,0.458781362,0.602564096
0.212421242,0.530652404,0.458781362,0.602564096
0.213208821,0.530652404,0.458781362,0.602564096
0.213996400,0.532276928,0.458781362,0.605150223
0.214783978,0.532276928,0.458781362,0.605150223
0.215571557,0.532276928,0.458781362,0.605150223
0.216359136,0.532276928,0.458781362,0.605150223
0.217146715,0.532276928,0.458781362,0.605150223
0.217934293,0.532276928,0.458781362,0.605150223
0.218721872,0.532276928,0.458781362,0.605150223
0.219509451,0.533796012,0.461847395,0.606965184
0.220297030,0.533796012,0.461847395,0.606965184
0.221084608,0.533796012,0.461847395,0.606965184
0.221872187,0.533796012,0.461847395,0.606965184
0.222659766,0.533796012,0.461847395,0.606965184
0.223447345,0.533796012,0.461847395,0.606965184
0.224234923,0.533796012,0.461847395,0.606965184
0.225022502,0.535900414,0.462450594,0.613636374
0.225810081,0.535900414,0.462450594,0.613636374
0.226597660,0.535900414,0.462450594,0.613636374
0.227385239,0.535900414,0.462450594,0.613636374
0.228172817,0.535900414,0.462450594,0.613636374
0.228960396,0.535900414,0.462450594,0.613636374
0.229747975,0.535900414,0.462450594,0.613636374
0.230535554,0.537891746,0.464285702,0.614406765
0.231323132,0.537891746,0.464285702,0.614406765
0.232110711,0.537891746,0.464285702,0.614406765
0.232898290,0.537891746,0.464285702,0.614406765
0.233685869,0.537891746,0.464285702,0.614406765
0.234473447,0.537891746,0.464285702,0.614406765
0.235261026,0.537891746,0.464285702,0.614406765
0.236048605,0.539826632,0.466403157,0.615062773
0.236836184,0.539826632,0.466403157,0.615062773
0.237623762,0.539826632,0.466403157,0.615062773
0.238411341,0.539826632,0.466403157,0.615062773
0.239198920,0.539826632,0.466403157,0.615062773
0.239986499,0.539826632,0.466403157,0.615062773
0.240774077,0.539826632,0.466403157,0.615062773
0.241561656,0.539826632,0.466403157,0.615062773
0.242349235,0.541887701,0.467741936,0.618025780
0.243136814,0.541887701,0.467741936,0.618025780
0.243924392,0.541887701,0.467741936,0.618025780
0.244711971,0.541887701,0.467741936,0.618025780
0.245499550,0.541887701,0.467741936,0.618025780
0.246287129,0.541887701,0.467741936,0.618025780
0.247074707,0.541887701,0.467741936,0.618025780
0.247862286,0.543808699,0.469565213,0.618834078
0.248649865,0.543808699,0.469565213,0.618834078
0.249437444,0.543808699,0.469565213,0.618834078
0.250225023,0.543808699,0.469565213,0.618834078
0.251012601,0.543808699,0.469565213,0.618834078
0.251800180,0.543808699,0.469565213,0.618834078
0.252587759,0.543808699,0.469565213,0.618834078
0.253375338,0.545839310,0.470588237,0.624390244
0.254162916,0.545839310,0.470588237,0.624390244
0.254950495,0.545839310,0.470588237,0.624390244
0.255738074,0.545839310,0.470588237,0.624390244
0.256525653,0.545839310,0.470588237,0.624390244
0.257313231,0.545839310,0.470588237,0.624390244
0.258100810,0.545839310,0.470588237,0.624390244
0.258888389,0.547661126,0.471544713,0.625000000
0.259675968,0.547661126,0.471544713,0.625000000
0.260463546,0.547661126,0.471544713,0.625000000
0.261251125,0.547661126,0.471544713,0.625000000
0.262038704,0.547661126,0.471544713,0.625000000
0.262826283,0.547661126,0.471544713,0.625000000
0.263613861,0.547661126,0.471544713,0.625000000
0.264401440,0.549365699,0.474358976,0.626556039
0.265189019,0.549365699,0.474358976,0.626556039
0.265976598,0.549365699,0.474358976,0.626556039
0.266764176,0.549365699,0.474358976,0.626556039
0.267551755,0.549365699,0.474358976,0.626556039
0.268339334,0.549365699,0.474358976,0.626556039
0.269126913,0.549365699,0.474358976,0.626556039
0.269914491,0.551216185,0.474576265,0.629787207
0.270702070,0.551216185,0.474576265,0.629787207
0.271489649,0.551216185,0.474576265,0.629787207
0.272277228,0.551216185,0.474576265,0.629787207
