FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.519687116,0.360655725,0.660377383
0.125787579,0.519696653,0.360655725,0.660377383
0.126575158,0.519696653,0.360655725,0.660377383
0.127362736,0.519696653,0.360655725,0.660377383
0.128150315,0.519696653,0.360655725,0.660377383
0.128937894,0.519696653,0.360655725,0.660377383
0.129725473,0.519696653,0.360655725,0.660377383
0.130513051,0.519696653,0.360655725,0.660377383
0.131300630,0.519696653,0.360655725,0.660377383
0.132088209,0.519696653,0.360655725,0.660377383
0.132875788,0.519696653,0.360655725,0.660377383
0.133663366,0.519696653,0.360655725,0.660377383
0.134450945,0.519696653,0.360655725,0.660377383
0.135238524,0.519696653,0.360655725,0.660377383
0.136026103,0.519696653,0.360655725,0.660377383
0.136813681,0.529498577,0.384615391,0.666666687
0.137601260,0.529498577,0.384615391,0.666666687
0.138388839,0.529498577,0.384615391,0.666666687
0.139176418,0.529498577,0.384615391,0.666666687
0.139963996,0.529498577,0.384615391,0.666666687
0.140751575,0.529498577,0.384615391,0.666666687
0.141539154,0.529498577,0.384615391,0.666666687
0.142326733,0.529498577,0.384615391,0.666666687
0.143114311,0.529498577,0.384615391,0.666666687
0.143901890,0.529498577,0.384615391,0.666666687
0.144689469,0.529498577,0.384615391,0.666666687
0.145477048,0.529498577,0.384615391,0.666666687
0.146264626,0.529498577,0.384615391,0.666666687
0.147052205,0.529498577,0.384615391,0.666666687
0.147839784,0.537861109,0.401869148,0.669811308
0.148627363,0.537861109,0.401869148,0.669811308
0.149414941,0.537861109,0.401869148,0.669811308
0.150202520,0.537861109,0.401869148,0.669811308
0.150990099,0.537861109,0.401869148,0.669811308
0.151777678,0.537861109,0.401869148,0.669811308
0.152565257,0.537861109,0.401869148,0.669811308
0.153352835,0.537861109,0.401869148,0.669811308
0.154140414,0.537861109,0.401869148,0.669811308
0.154927993,0.537861109,0.401869148,0.669811308
0.155715572,0.537861109,0.401869148,0.669811308
0.156503150,0.537861109,0.401869148,0.669811308
0.157290729,0.537861109,0.401869148,0.669811308
