FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.440062732,0.263157904,0.623762369
0.125787579,0.440140009,0.263157904,0.623762369
0.126575158,0.440140009,0.263157904,0.623762369
0.127362736,0.440140009,0.263157904,0.623762369
0.128150315,0.440140009,0.263157904,0.623762369
0.128937894,0.440140009,0.263157904,0.623762369
0.129725473,0.440140009,0.263157904,0.623762369
0.130513051,0.440140009,0.263157904,0.623762369
0.131300630,0.440140009,0.263157904,0.623762369
0.132088209,0.440140009,0.263157904,0.623762369
0.132875788,0.440140009,0.263157904,0.623762369
0.133663366,0.440140009,0.263157904,0.623762369
0.134450945,0.440140009,0.263157904,0.623762369
0.135238524,0.440140009,0.263157904,0.623762369
0.136026103,0.440140009,0.263157904,0.623762369
0.136813681,0.455837429,0.285714298,0.633027494
0.137601260,0.455837429,0.285714298,0.633027494
0.138388839,0.455837429,0.285714298,0.633027494
0.139176418,0.455837429,0.285714298,0.633027494
0.139963996,0.455837429,0.285714298,0.633027494
0.140751575,0.455837429,0.285714298,0.633027494
0.141539154,0.455837429,0.285714298,0.633027494
0.142326733,0.455837429,0.285714298,0.633027494
0.143114311,0.455837429,0.285714298,0.633027494
0.143901890,0.455837429,0.285714298,0.633027494
0.144689469,0.455837429,0.285714298,0.633027494
0.145477048,0.455837429,0.285714298,0.633027494
0.146264626,0.455837429,0.285714298,0.633027494
0.147052205,0.455837429,0.285714298,0.633027494
0.147839784,0.471377432,0.291262150,0.649999976
0.148627363,0.471377432,0.291262150,0.649999976
0.149414941,0.471377432,0.291262150,0.649999976
0.150202520,0.471377432,0.291262150,0.649999976
0.150990099,0.471377432,0.291262150,0.649999976
0.151777678,0.471377432,0.291262150,0.649999976
0.152565257,0.471377432,0.291262150,0.649999976
0.153352835,0.471377432,0.291262150,0.649999976
0.154140414,0.471377432,0.291262150,0.649999976
0.154927993,0.471377432,0.291262150,0.649999976
0.155715572,0.471377432,0.291262150,0.649999976
0.156503150,0.471377432,0.291262150,0.649999976
0.157290729,0.471377432,0.291262150,0.649999976
0.158078308,0.471377432,0.291262150,0.649999976
0.158865887,0.471377432,0.291262150,0.649999976
0.159653465,0.485819221,0.311475396,0.662921369
0.160441044,0.485819221,0.311475396,0.662921369
0.161228623,0.485819221,0.311475396,0.662921369
0.162016202,0.485819221,0.311475396,0.662921369
0.162803780,0.485819221,0.311475396,0.662921369
0.163591359,0.485819221,0.311475396,0.662921369
0.164378938,0.485819221,0.311475396,0.662921369
0.165166517,0.485819221,0.311475396,0.662921369
0.165954095,0.485819221,0.311475396,0.662921369
0.166741674,0.485819221,0.311475396,0.662921369
0.167529253,0.485819221,0.311475396,0.662921369
0.168316832,0.485819221,0.311475396,0.662921369
0.169104410,0.485819221,0.311475396,0.662921369
0.169891989,0.485819221,0.311475396,0.662921369
0.170679568,0.497612804,0.323943675,0.670454562
0.171467147,0.497612804,0.323943675,0.670454562
0.172254725,0.497612804,0.323943675,0.670454562
0.173042304,0.497612804,0.323943675,0.670454562
0.173829883,0.497612804,0.323943675,0.670454562
0.174617462,0.497612804,0.323943675,0.670454562
0.175405041,0.497612804,0.323943675,0.670454562
0.176192619,0.497612804,0.323943675,0.670454562
0.176980198,0.497612804,0.323943675,0.670454562
0.177767777,0.497612804,0.323943675,0.670454562
0.178555356,0.497612804,0.323943675,0.670454562
0.179342934,0.497612804,0.323943675,0.670454562
0.180130513,0.497612804,0.323943675,0.670454562
0.180918092,0.497612804,0.323943675,0.670454562
0.181705671,0.497612804,0.323943675,0.670454562
0.182493249,0.509464920,0.340425521,0.676190495
0.183280828,0.509464920,0.340425521,0.676190495
0.184068407,0.509464920,0.340425521,0.676190495
0.184855986,0.509464920,0.340425521,0.676190495
0.185643564,0.509464920,0.340425521,0.676190495
0.186431143,0.509464920,0.340425521,0.676190495
0.187218722,0.509464920,0.340425521,0.676190495
0.188006301,0.509464920,0.340425521,0.676190495
0.188793879,0.509464920,0.340425521,0.676190495
0.189581458,0.509464920,0.340425521,0.676190495
0.190369037,0.509464920,0.340425521,0.676190495
0.191156616,0.509464920,0.340425521,0.676190495
0.191944194,0.509464920,0.340425521,0.676190495
0.192731773,0.509464920,0.340425521,0.676190495
0.193519352,0.519602239,0.351351351,0.680672288
0.194306931,0.519602239,0.351351351,0.680672288
0.195094509,0.519602239,0.351351351,0.680672288
0.195882088,0.519602239,0.351351351,0.680672288
0.196669667,0.519602239,0.351351351,0.680672288
0.197457246,0.519602239,0.351351351,0.680672288
0.198244824,0.519602239,0.351351351,0.680672288
0.199032403,0.519602239,0.351351351,0.680672288
0.199819982,0.519602239,0.351351351,0.680672288
0.200607561,0.519602239,0.351351351,0.680672288
0.201395140,0.519602239,0.351351351,0.680672288
0.202182718,0.519602239,0.351351351,0.680672288
0.202970297,0.519602239,0.351351351,0.680672288
0.203757876,0.519602239,0.351351351,0.680672288
0.204545455,0.519602239,0.351351351,0.680672288
0.205333033,0.530191720,0.365217388,0.688073397
