FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.278257698,0.173553720,0.391666681
0.125787579,0.278335094,0.173553720,0.391666681
0.126575158,0.278335094,0.173553720,0.391666681
0.127362736,0.278335094,0.173553720,0.391666681
0.128150315,0.278335094,0.173553720,0.391666681
0.128937894,0.278335094,0.173553720,0.391666681
0.129725473,0.278335094,0.173553720,0.391666681
0.130513051,0.278335094,0.173553720,0.391666681
0.131300630,0.278335094,0.173553720,0.391666681
0.132088209,0.278335094,0.173553720,0.391666681
0.132875788,0.278335094,0.173553720,0.391666681
0.133663366,0.278335094,0.173553720,0.391666681
0.134450945,0.278335094,0.173553720,0.391666681
0.135238524,0.278335094,0.173553720,0.391666681
0.136026103,0.278335094,0.173553720,0.391666681
0.136813681,0.288330078,0.187500000,0.403361350
0.137601260,0.288330078,0.187500000,0.403361350
0.138388839,0.288330078,0.187500000,0.403361350
0.139176418,0.288330078,0.187500000,0.403361350
0.139963996,0.288330078,0.187500000,0.403361350
0.140751575,0.288330078,0.187500000,0.403361350
0.141539154,0.288330078,0.187500000,0.403361350
0.142326733,0.288330078,0.187500000,0.403361350
0.143114311,0.288330078,0.187500000,0.403361350
0.143901890,0.288330078,0.187500000,0.403361350
0.144689469,0.288330078,0.187500000,0.403361350
0.145477048,0.288330078,0.187500000,0.403361350
0.146264626,0.288330078,0.187500000,0.403361350
0.147052205,0.288330078,0.187500000,0.403361350
0.147839784,0.298920214,0.192857146,0.410256416
0.148627363,0.298920214,0.192857146,0.410256416
0.149414941,0.298920214,0.192857146,0.410256416
0.150202520,0.298920214,0.192857146,0.410256416
0.150990099,0.298920214,0.192857146,0.410256416
0.151777678,0.298920214,0.192857146,0.410256416
0.152565257,0.298920214,0.192857146,0.410256416
0.153352835,0.298920214,0.192857146,0.410256416
0.154140414,0.298920214,0.192857146,0.410256416
0.154927993,0.298920214,0.192857146,0.410256416
0.155715572,0.298920214,0.192857146,0.410256416
0.156503150,0.298920214,0.192857146,0.410256416
0.157290729,0.298920214,0.192857146,0.410256416
0.158078308,0.298920214,0.192857146,0.410256416
0.158865887,0.298920214,0.192857146,0.410256416
0.159653465,0.308759391,0.196581200,0.417391300
0.160441044,0.308759391,0.196581200,0.417391300
0.161228623,0.308759391,0.196581200,0.417391300
0.162016202,0.308759391,0.196581200,0.417391300
0.162803780,0.308759391,0.196581200,0.417391300
0.163591359,0.308759391,0.196581200,0.417391300
0.164378938,0.308759391,0.196581200,0.417391300
0.165166517,0.308759391,0.196581200,0.417391300
0.165954095,0.308759391,0.196581200,0.417391300
0.166741674,0.308759391,0.196581200,0.417391300
0.167529253,0.308759391,0.196581200,0.417391300
0.168316832,0.308759391,0.196581200,0.417391300
0.169104410,0.308759391,0.196581200,0.417391300
0.169891989,0.308759391,0.196581200,0.417391300
0.170679568,0.318065882,0.203252032,0.429906547
0.171467147,0.318065882,0.203252032,0.429906547
0.172254725,0.318065882,0.203252032,0.429906547
0.173042304,0.318065882,0.203252032,0.429906547
0.173829883,0.318065882,0.203252032,0.429906547
0.174617462,0.318065882,0.203252032,0.429906547
0.175405041,0.318065882,0.203252032,0.429906547
0.176192619,0.318065882,0.203252032,0.429906547
0.176980198,0.318065882,0.203252032,0.429906547
0.177767777,0.318065882,0.203252032,0.429906547
0.178555356,0.318065882,0.203252032,0.429906547
0.179342934,0.318065882,0.203252032,0.429906547
0.180130513,0.318065882,0.203252032,0.429906547
0.180918092,0.318065882,0.203252032,0.429906547
0.181705671,0.318065882,0.203252032,0.429906547
0.182493249,0.327136189,0.214285716,0.435643554
0.183280828,0.327136189,0.214285716,0.435643554
0.184068407,0.327136189,0.214285716,0.435643554
0.184855986,0.327136189,0.214285716,0.435643554
0.185643564,0.327136189,0.214285716,0.435643554
0.186431143,0.327136189,0.214285716,0.435643554
0.187218722,0.327136189,0.214285716,0.435643554
0.188006301,0.327136189,0.214285716,0.435643554
0.188793879,0.327136189,0.214285716,0.435643554
0.189581458,0.327136189,0.214285716,0.435643554
0.190369037,0.327136189,0.214285716,0.435643554
0.191156616,0.327136189,0.214285716,0.435643554
0.191944194,0.327136189,0.214285716,0.435643554
0.192731773,0.327136189,0.214285716,0.435643554
0.193519352,0.336066961,0.227642283,0.437500000
0.194306931,0.336066961,0.227642283,0.437500000
0.195094509,0.336066961,0.227642283,0.437500000
0.195882088,0.336066961,0.227642283,0.437500000
0.196669667,0.336066961,0.227642283,0.437500000
0.197457246,0.336066961,0.227642283,0.437500000
0.198244824,0.336066961,0.227642283,0.437500000
0.199032403,0.336066961,0.227642283,0.437500000
0.199819982,0.336066961,0.227642283,0.437500000
0.200607561,0.336066961,0.227642283,0.437500000
0.201395140,0.336066961,0.227642283,0.437500000
0.202182718,0.336066961,0.227642283,0.437500000
0.202970297,0.336066961,0.227642283,0.437500000
0.203757876,0.336066961,0.227642283,0.437500000
0.204545455,0.336077601,0.227642283,0.437500000
0.205333033,0.343534291,0.234693885,0.445544541
0.206120612,0.343534291,0.234693885,0.445544541
0.206908191,0.343534291,0.234693885,0.445544541
0.207695770,0.343534291,0.234693885,0.445544541
0.208483348,0.343534291,0.234693885,0.445544541
0.209270927,0.343534291,0.234693885,0.445544541
0.210058506,0.343534291,0.234693885,0.445544541
0.210846085,0.343534291,0.234693885,0.445544541
0.211633663,0.343534291,0.234693885,0.445544541
0.212421242,0.343534291,0.234693885,0.445544541
0.213208821,0.343534291,0.234693885,0.445544541
0.213996400,0.343534291,0.234693885,0.445544541
0.214783978,0.343534291,0.234693885,0.445544541
0.215571557,0.343534291,0.234693885,0.445544541
0.216359136,0.350438446,0.242990658,0.455284566
0.217146715,0.350438446,0.242990658,0.455284566
0.217934293,0.350438446,0.242990658,0.455284566
0.218721872,0.350438446,0.242990658,0.455284566
0.219509451,0.350438446,0.242990658,0.455284566
0.220297030,0.350438446,0.242990658,0.455284566
0.221084608,0.350438446,0.242990658,0.455284566
0.221872187,0.350438446,0.242990658,0.455284566
0.222659766,0.350438446,0.242990658,0.455284566
0.223447345,0.350438446,0.242990658,0.455284566
0.224234923,0.350438446,0.242990658,0.455284566
0.225022502,0.350438446,0.242990658,0.455284566
0.225810081,0.350438446,0.242990658,0.455284566
0.226597660,0.350438446,0.242990658,0.455284566
0.227385239,0.356510609,0.252100855,0.457142860
0.228172817,0.356510609,0.252100855,0.457142860
0.228960396,0.356510609,0.252100855,0.457142860
0.229747975,0.356510609,0.252100855,0.457142860
0.230535554,0.356510609,0.252100855,0.457142860
