FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.450958908,0.321100920,0.609523833
0.125787579,0.450958908,0.321100920,0.609523833
0.126575158,0.450958908,0.321100920,0.609523833
0.127362736,0.450958908,0.321100920,0.609523833
0.128150315,0.450958908,0.321100920,0.609523833
0.128937894,0.450958908,0.321100920,0.609523833
0.129725473,0.450958908,0.321100920,0.609523833
0.130513051,0.450958908,0.321100920,0.609523833
0.131300630,0.450958908,0.321100920,0.609523833
0.132088209,0.450958908,0.321100920,0.609523833
0.132875788,0.450958908,0.321100920,0.609523833
0.133663366,0.450958908,0.321100920,0.609523833
0.134450945,0.450958908,0.321100920,0.609523833
0.135238524,0.450958908,0.321100920,0.609523833
0.136026103,0.450958908,0.321100920,0.609523833
0.136813681,0.464365900,0.327731103,0.625000000
0.137601260,0.464365900,0.327731103,0.625000000
0.138388839,0.464365900,0.327731103,0.625000000
0.139176418,0.464365900,0.327731103,0.625000000
0.139963996,0.464365900,0.327731103,0.625000000
0.140751575,0.464365900,0.327731103,0.625000000
0.141539154,0.464365900,0.327731103,0.625000000
0.142326733,0.464365900,0.327731103,0.625000000
0.143114311,0.464365900,0.327731103,0.625000000
0.143901890,0.464365900,0.327731103,0.625000000
0.144689469,0.464365900,0.327731103,0.625000000
0.145477048,0.464365900,0.327731103,0.625000000
0.146264626,0.464365900,0.327731103,0.625000000
0.147052205,0.464365900,0.327731103,0.625000000
0.147839784,0.476019233,0.333333343,0.627272725
0.148627363,0.476019233,0.333333343,0.627272725
0.149414941,0.476019233,0.333333343,0.627272725
0.150202520,0.476019233,0.333333343,0.627272725
0.150990099,0.476019233,0.333333343,0.627272725
0.151777678,0.476019233,0.333333343,0.627272725
0.152565257,0.476019233,0.333333343,0.627272725
0.153352835,0.476019233,0.333333343,0.627272725
0.154140414,0.476019233,0.333333343,0.627272725
0.154927993,0.476019233,0.333333343,0.627272725
0.155715572,0.476019233,0.333333343,0.627272725
0.156503150,0.476019233,0.333333343,0.627272725
0.157290729,0.476019233,0.333333343,0.627272725
0.158078308,0.476019233,0.333333343,0.627272725
0.158865887,0.476019233,0.333333343,0.627272725
0.159653465,0.486830443,0.346153855,0.644628108
0.160441044,0.486830443,0.346153855,0.644628108
0.161228623,0.486830443,0.346153855,0.644628108
0.162016202,0.486830443,0.346153855,0.644628108
0.162803780,0.486830443,0.346153855,0.644628108
0.163591359,0.486830443,0.346153855,0.644628108
0.164378938,0.486830443,0.346153855,0.644628108
0.165166517,0.486830443,0.346153855,0.644628108
0.165954095,0.486830443,0.346153855,0.644628108
0.166741674,0.486830443,0.346153855,0.644628108
0.167529253,0.486830443,0.346153855,0.644628108
0.168316832,0.486830443,0.346153855,0.644628108
0.169104410,0.486830443,0.346153855,0.644628108
0.169891989,0.486830443,0.346153855,0.644628108
0.170679568,0.495708108,0.358490556,0.646551728
0.171467147,0.495708108,0.358490556,0.646551728
0.172254725,0.495708108,0.358490556,0.646551728
0.173042304,0.495708108,0.358490556,0.646551728
0.173829883,0.495708108,0.358490556,0.646551728
0.174617462,0.495708108,0.358490556,0.646551728
0.175405041,0.495708108,0.358490556,0.646551728
0.176192619,0.495708108,0.358490556,0.646551728
0.176980198,0.495708108,0.358490556,0.646551728
0.177767777,0.495708108,0.358490556,0.646551728
0.178555356,0.495708108,0.358490556,0.646551728
0.179342934,0.495708108,0.358490556,0.646551728
0.180130513,0.495708108,0.358490556,0.646551728
0.180918092,0.495708108,0.358490556,0.646551728
0.181705671,0.495708108,0.358490556,0.646551728
0.182493249,0.504673183,0.375000000,0.648936152
0.183280828,0.504673183,0.375000000,0.648936152
0.184068407,0.504673183,0.375000000,0.648936152
0.184855986,0.504673183,0.375000000,0.648936152
0.185643564,0.504673183,0.375000000,0.648936152
0.186431143,0.504673183,0.375000000,0.648936152
0.187218722,0.504673183,0.375000000,0.648936152
0.188006301,0.504673183,0.375000000,0.648936152
0.188793879,0.504673183,0.375000000,0.648936152
0.189581458,0.504673183,0.375000000,0.648936152
0.190369037,0.504673183,0.375000000,0.648936152
0.191156616,0.504673183,0.375000000,0.648936152
0.191944194,0.504673183,0.375000000,0.648936152
0.192731773,0.504673183,0.375000000,0.648936152
0.193519352,0.512692392,0.385245889,0.657657683
0.194306931,0.512692392,0.385245889,0.657657683
0.195094509,0.512692392,0.385245889,0.657657683
0.195882088,0.512692392,0.385245889,0.657657683
0.196669667,0.512692392,0.385245889,0.657657683
0.197457246,0.512692392,0.385245889,0.657657683
0.198244824,0.512692392,0.385245889,0.657657683
0.199032403,0.512692392,0.385245889,0.657657683
0.199819982,0.512692392,0.385245889,0.657657683
0.200607561,0.512692392,0.385245889,0.657657683
0.201395140,0.512692392,0.385245889,0.657657683
0.202182718,0.512692392,0.385245889,0.657657683
0.202970297,0.512692392,0.385245889,0.657657683
0.203757876,0.512692392,0.385245889,0.657657683
0.204545455,0.512703538,0.385245889,0.657657683
0.205333033,0.519036412,0.388059705,0.659574449
0.206120612,0.519036412,0.388059705,0.659574449
0.206908191,0.519036412,0.388059705,0.659574449
0.207695770,0.519036412,0.388059705,0.659574449
0.208483348,0.519036412,0.388059705,0.659574449
0.209270927,0.519036412,0.388059705,0.659574449
0.210058506,0.519036412,0.388059705,0.659574449
0.210846085,0.519036412,0.388059705,0.659574449
0.211633663,0.519036412,0.388059705,0.659574449
0.212421242,0.519036412,0.388059705,0.659574449
0.213208821,0.519036412,0.388059705,0.659574449
0.213996400,0.519036412,0.388059705,0.659574449
0.214783978,0.519036412,0.388059705,0.659574449
0.215571557,0.519036412,0.388059705,0.659574449
0.216359136,0.526705980,0.395833343,0.661417305
0.217146715,0.526705980,0.395833343,0.661417305
0.217934293,0.526705980,0.395833343,0.661417305
0.218721872,0.526705980,0.395833343,0.661417305
0.219509451,0.526705980,0.395833343,0.661417305
0.220297030,0.526705980,0.395833343,0.661417305
0.221084608,0.526705980,0.395833343,0.661417305
0.221872187,0.526705980,0.395833343,0.661417305
0.222659766,0.526705980,0.395833343,0.661417305
0.223447345,0.526705980,0.395833343,0.661417305
0.224234923,0.526705980,0.395833343,0.661417305
0.225022502,0.526705980,0.395833343,0.661417305
0.225810081,0.526705980,0.395833343,0.661417305
0.226597660,0.526705980,0.395833343,0.661417305
0.227385239,0.533808827,0.407079637,0.663934410
0.228172817,0.533808827,0.407079637,0.663934410
0.228960396,0.533808827,0.407079637,0.663934410
0.229747975,0.533808827,0.407079637,0.663934410
0.230535554,0.533808827,0.407079637,0.663934410
0.231323132,0.533808827,0.407079637,0.663934410
0.232110711,0.533808827,0.407079637,0.663934410
0.232898290,0.533808827,0.407079637,0.663934410
0.233685869,0.533808827,0.407079637,0.663934410
0.234473447,0.533808827,0.407079637,0.663934410
0.235261026,0.533808827,0.407079637,0.663934410
0.236048605,0.533808827,0.407079637,0.663934410
0.236836184,0.533808827,0.407079637,0.663934410
0.237623762,0.533808827,0.407079637,0.663934410
0.238411341,0.533808827,0.407079637,0.663934410
0.239198920,0.539381564,0.412213743,0.670454562
0.239986499,0.539381564,0.412213743,0.670454562
0.240774077,0.539381564,0.412213743,0.670454562
0.241561656,0.539381564,0.412213743,0.670454562
0.242349235,0.539381564,0.412213743,0.670454562
0.243136814,0.539381564,0.412213743,0.670454562
0.243924392,0.539381564,0.412213743,0.670454562
0.244711971,0.539381564,0.412213743,0.670454562
0.245499550,0.539381564,0.412213743,0.670454562
0.246287129,0.539381564,0.412213743,0.670454562
0.247074707,0.539381564,0.412213743,0.670454562
0.247862286,0.539381564,0.412213743,0.670454562
0.248649865,0.539381564,0.412213743,0.670454562
0.249437444,0.539381564,0.412213743,0.670454562
0.250225023,0.545664132,0.424242437,0.677777767
0.251012601,0.545664132,0.424242437,0.677777767
0.251800180,0.545664132,0.424242437,0.677777767
0.252587759,0.545664132,0.424242437,0.677777767
0.253375338,0.545664132,0.424242437,0.677777767
0.254162916,0.545664132,0.424242437,0.677777767
0.254950495,0.545664132,0.424242437,0.677777767
0.255738074,0.545664132,0.424242437,0.677777767
0.256525653,0.545664132,0.424242437,0.677777767
0.257313231,0.545664132,0.424242437,0.677777767
0.258100810,0.545664132,0.424242437,0.677777767
0.258888389,0.545664132,0.424242437,0.677777767
0.259675968,0.545664132,0.424242437,0.677777767
0.260463546,0.545664132,0.424242437,0.677777767
0.261251125,0.545664132,0.424242437,0.677777767
0.262038704,0.551273704,0.429577470,0.686956525
0.262826283,0.551273704,0.429577470,0.686956525
0.263613861,0.551273704,0.429577470,0.686956525
0.264401440,0.551273704,0.429577470,0.686956525
0.265189019,0.551273704,0.429577470,0.686956525
0.265976598,0.551273704,0.429577470,0.686956525
0.266764176,0.551273704,0.429577470,0.686956525
0.267551755,0.551273704,0.429577470,0.686956525
0.268339334,0.551273704,0.429577470,0.686956525
0.269126913,0.551273704,0.429577470,0.686956525
0.269914491,0.551273704,0.429577470,0.686956525
0.270702070,0.551273704,0.429577470,0.686956525
0.271489649,0.551273704,0.429577470,0.686956525
0.272277228,0.551273704,0.429577470,0.686956525
0.273064806,0.555937648,0.433333337,0.689999998
0.273852385,0.555937648,0.433333337,0.689999998
0.274639964,0.555937648,0.433333337,0.689999998
0.275427543,0.555937648,0.433333337,0.689999998
0.276215122,0.555937648,0.433333337,0.689999998
0.277002700,0.555937648,0.433333337,0.689999998
0.277790279,0.555937648,0.433333337,0.689999998
0.278577858,0.555937648,0.433333337,0.689999998
0.279365437,0.555937648,0.433333337,0.689999998
0.280153015,0.555937648,0.433333337,0.689999998
0.280940594,0.555937648,0.433333337,0.689999998
0.281728173,0.555937648,0.433333337,0.689999998
0.282515752,0.555937648,0.433333337,0.689999998
0.283303330,0.555937648,0.433333337,0.689999998
0.284090909,0.555937648,0.433333337,0.689999998
0.284878488,0.560952425,0.441666663,0.689999998
0.285666067,0.560952425,0.441666663,0.689999998
0.286453645,0.560952425,0.441666663,0.689999998
0.287241224,0.560952425,0.441666663,0.689999998
0.288028803,0.560952425,0.441666663,0.689999998
0.288816382,0.560952425,0.441666663,0.689999998
0.289603960,0.560952425,0.441666663,0.689999998
0.290391539,0.560952425,0.441666663,0.689999998
0.291179118,0.560952425,0.441666663,0.689999998
0.291966697,0.560952425,0.441666663,0.689999998
0.292754275,0.560952425,0.441666663,0.689999998
0.293541854,0.560952425,0.441666663,0.689999998
0.294329433,0.560952425,0.441666663,0.689999998
0.295117012,0.560952425,0.441666663,0.689999998
0.295904590,0.565584242,0.444444448,0.703125000
0.296692169,0.565584242,0.444444448,0.703125000
0.297479748,0.565584242,0.444444448,0.703125000
0.298267327,0.565584242,0.444444448,0.703125000
0.299054905,0.565584242,0.444444448,0.703125000
0.299842484,0.565584242,0.444444448,0.703125000
0.300630063,0.565584242,0.444444448,0.703125000
0.301417642,0.565584242,0.444444448,0.703125000
0.302205221,0.565584242,0.444444448,0.703125000
0.302992799,0.565584242,0.444444448,0.703125000
0.303780378,0.565584242,0.444444448,0.703125000
0.304567957,0.565584242,0.444444448,0.703125000
0.305355536,0.565584242,0.444444448,0.703125000
0.306143114,0.565584242,0.444444448,0.703125000
0.306930693,0.570873499,0.446153849,0.711538434
0.307718272,0.570873499,0.446153849,0.711538434
0.308505851,0.570873499,0.446153849,0.711538434
0.309293429,0.570873499,0.446153849,0.711538434
0.310081008,0.570873499,0.446153849,0.711538434
0.310868587,0.570873499,0.446153849,0.711538434
