FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.530746222,0.404109597,0.670454562
0.125787579,0.530849338,0.404109597,0.670454562
0.126575158,0.530849338,0.404109597,0.670454562
0.127362736,0.530849338,0.404109597,0.670454562
0.128150315,0.530849338,0.404109597,0.670454562
0.128937894,0.530849338,0.404109597,0.670454562
0.129725473,0.530849338,0.404109597,0.670454562
0.130513051,0.530849338,0.404109597,0.670454562
0.131300630,0.530849338,0.404109597,0.670454562
0.132088209,0.530849338,0.404109597,0.670454562
0.132875788,0.530849338,0.404109597,0.670454562
0.133663366,0.530849338,0.404109597,0.670454562
0.134450945,0.530849338,0.404109597,0.670454562
0.135238524,0.530849338,0.404109597,0.670454562
0.136026103,0.530849338,0.404109597,0.670454562
0.136813681,0.538448155,0.415929198,0.680851042
0.137601260,0.538448155,0.415929198,0.680851042
0.138388839,0.538448155,0.415929198,0.680851042
0.139176418,0.538448155,0.415929198,0.680851042
0.139963996,0.538448155,0.415929198,0.680851042
0.140751575,0.538448155,0.415929198,0.680851042
0.141539154,0.538448155,0.415929198,0.680851042
0.142326733,0.538448155,0.415929198,0.680851042
0.143114311,0.538448155,0.415929198,0.680851042
0.143901890,0.538448155,0.415929198,0.680851042
0.144689469,0.538448155,0.415929198,0.680851042
0.145477048,0.538448155,0.415929198,0.680851042
0.146264626,0.538448155,0.415929198,0.680851042
0.147052205,0.538448155,0.415929198,0.680851042
0.147839784,0.546507955,0.416666657,0.691588759
0.148627363,0.546507955,0.416666657,0.691588759
0.149414941,0.546507955,0.416666657,0.691588759
0.150202520,0.546507955,0.416666657,0.691588759
0.150990099,0.546507955,0.416666657,0.691588759
0.151777678,0.546507955,0.416666657,0.691588759
0.152565257,0.546507955,0.416666657,0.691588759
0.153352835,0.546507955,0.416666657,0.691588759
0.154140414,0.546507955,0.416666657,0.691588759
0.154927993,0.546507955,0.416666657,0.691588759
0.155715572,0.546507955,0.416666657,0.691588759
0.156503150,0.546507955,0.416666657,0.691588759
0.157290729,0.546507955,0.416666657,0.691588759
0.158078308,0.546507955,0.416666657,0.691588759
0.158865887,0.546507955,0.416666657,0.691588759
0.159653465,0.554089129,0.427419364,0.699999988
0.160441044,0.554089129,0.427419364,0.699999988
0.161228623,0.554089129,0.427419364,0.699999988
0.162016202,0.554089129,0.427419364,0.699999988
0.162803780,0.554089129,0.427419364,0.699999988
0.163591359,0.554089129,0.427419364,0.699999988
0.164378938,0.554089129,0.427419364,0.699999988
0.165166517,0.554089129,0.427419364,0.699999988
0.165954095,0.554089129,0.427419364,0.699999988
0.166741674,0.554089129,0.427419364,0.699999988
0.167529253,0.554089129,0.427419364,0.699999988
0.168316832,0.554089129,0.427419364,0.699999988
0.169104410,0.554089129,0.427419364,0.699999988
0.169891989,0.554089129,0.427419364,0.699999988
0.170679568,0.562350452,0.428571433,0.708661437
0.171467147,0.562350452,0.428571433,0.708661437
0.172254725,0.562350452,0.428571433,0.708661437
0.173042304,0.562350452,0.428571433,0.708661437
0.173829883,0.562350452,0.428571433,0.708661437
0.174617462,0.562350452,0.428571433,0.708661437
0.175405041,0.562350452,0.428571433,0.708661437
0.176192619,0.562350452,0.428571433,0.708661437
0.176980198,0.562350452,0.428571433,0.708661437
0.177767777,0.562350452,0.428571433,0.708661437
0.178555356,0.562350452,0.428571433,0.708661437
0.179342934,0.562350452,0.428571433,0.708661437
0.180130513,0.562350452,0.428571433,0.708661437
0.180918092,0.562350452,0.428571433,0.708661437
0.181705671,0.562350452,0.428571433,0.708661437
0.182493249,0.571536243,0.434482753,0.721153855
0.183280828,0.571536243,0.434482753,0.721153855
0.184068407,0.571536243,0.434482753,0.721153855
0.184855986,0.571536243,0.434482753,0.721153855
0.185643564,0.571536243,0.434482753,0.721153855
0.186431143,0.571536243,0.434482753,0.721153855
0.187218722,0.571536243,0.434482753,0.721153855
0.188006301,0.571536243,0.434482753,0.721153855
0.188793879,0.571536243,0.434482753,0.721153855
0.189581458,0.571536243,0.434482753,0.721153855
0.190369037,0.571536243,0.434482753,0.721153855
0.191156616,0.571536243,0.434482753,0.721153855
0.191944194,0.571536243,0.434482753,0.721153855
0.192731773,0.571536243,0.434482753,0.721153855
0.193519352,0.579849482,0.440476179,0.726495743
0.194306931,0.579849482,0.440476179,0.726495743
0.195094509,0.579849482,0.440476179,0.726495743
0.195882088,0.579849482,0.440476179,0.726495743
0.196669667,0.579849482,0.440476179,0.726495743
0.197457246,0.579849482,0.440476179,0.726495743
0.198244824,0.579849482,0.440476179,0.726495743
0.199032403,0.579849482,0.440476179,0.726495743
0.199819982,0.579849482,0.440476179,0.726495743
0.200607561,0.579849482,0.440476179,0.726495743
0.201395140,0.579849482,0.440476179,0.726495743
0.202182718,0.579849482,0.440476179,0.726495743
0.202970297,0.579849482,0.440476179,0.726495743
0.203757876,0.579849482,0.440476179,0.726495743
0.204545455,0.579849482,0.440476179,0.726495743
0.205333033,0.587520361,0.444444448,0.738317728
0.206120612,0.587520361,0.444444448,0.738317728
0.206908191,0.587520361,0.444444448,0.738317728
0.207695770,0.587520361,0.444444448,0.738317728
0.208483348,0.587520361,0.444444448,0.738317728
0.209270927,0.587520361,0.444444448,0.738317728
0.210058506,0.587520361,0.444444448,0.738317728
0.210846085,0.587520361,0.444444448,0.738317728
0.211633663,0.587520361,0.444444448,0.738317728
0.212421242,0.587520361,0.444444448,0.738317728
0.213208821,0.587520361,0.444444448,0.738317728
0.213996400,0.587520361,0.444444448,0.738317728
0.214783978,0.587520361,0.444444448,0.738317728
0.215571557,0.587520361,0.444444448,0.738317728
0.216359136,0.596689999,0.452380955,0.739130437
0.217146715,0.596689999,0.452380955,0.739130437
0.217934293,0.596689999,0.452380955,0.739130437
0.218721872,0.596689999,0.452380955,0.739130437
0.219509451,0.596689999,0.452380955,0.739130437
0.220297030,0.596689999,0.452380955,0.739130437
0.221084608,0.596689999,0.452380955,0.739130437
0.221872187,0.596689999,0.452380955,0.739130437
0.222659766,0.596689999,0.452380955,0.739130437
0.223447345,0.596689999,0.452380955,0.739130437
0.224234923,0.596689999,0.452380955,0.739130437
0.225022502,0.596689999,0.452380955,0.739130437
0.225810081,0.596689999,0.452380955,0.739130437
0.226597660,0.596689999,0.452380955,0.739130437
0.227385239,0.603859425,0.462686568,0.747474730
0.228172817,0.603859425,0.462686568,0.747474730
0.228960396,0.603859425,0.462686568,0.747474730
0.229747975,0.603859425,0.462686568,0.747474730
0.230535554,0.603859425,0.462686568,0.747474730
0.231323132,0.603859425,0.462686568,0.747474730
0.232110711,0.603859425,0.462686568,0.747474730
0.232898290,0.603859425,0.462686568,0.747474730
0.233685869,0.603859425,0.462686568,0.747474730
0.234473447,0.603859425,0.462686568,0.747474730
0.235261026,0.603859425,0.462686568,0.747474730
0.236048605,0.603859425,0.462686568,0.747474730
0.236836184,0.603859425,0.462686568,0.747474730
0.237623762,0.603859425,0.462686568,0.747474730
0.238411341,0.603859425,0.462686568,0.747474730
0.239198920,0.611750662,0.465753436,0.755319178
0.239986499,0.611750662,0.465753436,0.755319178
0.240774077,0.611750662,0.465753436,0.755319178
0.241561656,0.611750662,0.465753436,0.755319178
0.242349235,0.611750662,0.465753436,0.755319178
0.243136814,0.611750662,0.465753436,0.755319178
0.243924392,0.611750662,0.465753436,0.755319178
0.244711971,0.611750662,0.465753436,0.755319178
0.245499550,0.611750662,0.465753436,0.755319178
0.246287129,0.611750662,0.465753436,0.755319178
0.247074707,0.611750662,0.465753436,0.755319178
0.247862286,0.611750662,0.465753436,0.755319178
0.248649865,0.611750662,0.465753436,0.755319178
0.249437444,0.611750662,0.465753436,0.755319178
0.250225023,0.619252920,0.476923078,0.763157904
0.251012601,0.619252920,0.476923078,0.763157904
0.251800180,0.619252920,0.476923078,0.763157904
0.252587759,0.619252920,0.476923078,0.763157904
0.253375338,0.619252920,0.476923078,0.763157904
0.254162916,0.619252920,0.476923078,0.763157904
0.254950495,0.619252920,0.476923078,0.763157904
