FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.024677016,0.000000000,0.101010099
0.125787579,0.024750762,0.000000000,0.101010099
0.126575158,0.024750762,0.000000000,0.101010099
0.127362736,0.024750762,0.000000000,0.101010099
0.128150315,0.024750762,0.000000000,0.101010099
0.128937894,0.024750762,0.000000000,0.101010099
0.129725473,0.024750762,0.000000000,0.101010099
0.130513051,0.024750762,0.000000000,0.101010099
0.131300630,0.024750762,0.000000000,0.101010099
0.132088209,0.024750762,0.000000000,0.101010099
0.132875788,0.024750762,0.000000000,0.101010099
0.133663366,0.024750762,0.000000000,0.101010099
0.134450945,0.024750762,0.000000000,0.101010099
0.135238524,0.024750762,0.000000000,0.101010099
0.136026103,0.024750762,0.000000000,0.101010099
0.136813681,0.030294606,0.000000000,0.104838707
0.137601260,0.030294606,0.000000000,0.104838707
0.138388839,0.030294606,0.000000000,0.104838707
0.139176418,0.030294606,0.000000000,0.104838707
0.139963996,0.030294606,0.000000000,0.104838707
0.140751575,0.030294606,0.000000000,0.104838707
0.141539154,0.030294606,0.000000000,0.104838707
0.142326733,0.030294606,0.000000000,0.104838707
0.143114311,0.030294606,0.000000000,0.104838707
0.143901890,0.030294606,0.000000000,0.104838707
0.144689469,0.030294606,0.000000000,0.104838707
0.145477048,0.030294606,0.000000000,0.104838707
0.146264626,0.030294606,0.000000000,0.104838707
0.147052205,0.030294606,0.000000000,0.104838707
0.147839784,0.036810420,0.000000000,0.110169493
0.148627363,0.036810420,0.000000000,0.110169493
0.149414941,0.036810420,0.000000000,0.110169493
0.150202520,0.036810420,0.000000000,0.110169493
0.150990099,0.036810420,0.000000000,0.110169493
0.151777678,0.036810420,0.000000000,0.110169493
0.152565257,0.036810420,0.000000000,0.110169493
0.153352835,0.036810420,0.000000000,0.110169493
0.154140414,0.036810420,0.000000000,0.110169493
0.154927993,0.036810420,0.000000000,0.110169493
0.155715572,0.036810420,0.000000000,0.110169493
0.156503150,0.036810420,0.000000000,0.110169493
0.157290729,0.036810420,0.000000000,0.110169493
0.158078308,0.036810420,0.000000000,0.110169493
0.158865887,0.036810420,0.000000000,0.110169493
0.159653465,0.042298026,0.000000000,0.112244897
0.160441044,0.042298026,0.000000000,0.112244897
0.161228623,0.042298026,0.000000000,0.112244897
0.162016202,0.042298026,0.000000000,0.112244897
0.162803780,0.042298026,0.000000000,0.112244897
0.163591359,0.042298026,0.000000000,0.112244897
0.164378938,0.042298026,0.000000000,0.112244897
0.165166517,0.042298026,0.000000000,0.112244897
0.165954095,0.042298026,0.000000000,0.112244897
0.166741674,0.042298026,0.000000000,0.112244897
0.167529253,0.042298026,0.000000000,0.112244897
0.168316832,0.042298026,0.000000000,0.112244897
0.169104410,0.042298026,0.000000000,0.112244897
0.169891989,0.042298026,0.000000000,0.112244897
0.170679568,0.048465591,0.000000000,0.119047619
0.171467147,0.048465591,0.000000000,0.119047619
0.172254725,0.048465591,0.000000000,0.119047619
0.173042304,0.048465591,0.000000000,0.119047619
0.173829883,0.048465591,0.000000000,0.119047619
0.174617462,0.048465591,0.000000000,0.119047619
0.175405041,0.048465591,0.000000000,0.119047619
0.176192619,0.048465591,0.000000000,0.119047619
0.176980198,0.048465591,0.000000000,0.119047619
0.177767777,0.048465591,0.000000000,0.119047619
0.178555356,0.048465591,0.000000000,0.119047619
0.179342934,0.048465591,0.000000000,0.119047619
0.180130513,0.048465591,0.000000000,0.119047619
0.180918092,0.048465591,0.000000000,0.119047619
0.181705671,0.048465591,0.000000000,0.119047619
0.182493249,0.053632226,0.000000000,0.133333340
0.183280828,0.053632226,0.000000000,0.133333340
0.184068407,0.053632226,0.000000000,0.133333340
0.184855986,0.053632226,0.000000000,0.133333340
0.185643564,0.053632226,0.000000000,0.133333340
0.186431143,0.053632226,0.000000000,0.133333340
0.187218722,0.053632226,0.000000000,0.133333340
0.188006301,0.053632226,0.000000000,0.133333340
0.188793879,0.053632226,0.000000000,0.133333340
0.189581458,0.053632226,0.000000000,0.133333340
0.190369037,0.053632226,0.000000000,0.133333340
0.191156616,0.053632226,0.000000000,0.133333340
0.191944194,0.053632226,0.000000000,0.133333340
0.192731773,0.053632226,0.000000000,0.133333340
0.193519352,0.058829520,0.000000000,0.142857149
0.194306931,0.058830161,0.000000000,0.142857149
0.195094509,0.058830801,0.000000000,0.142857149
0.195882088,0.058831442,0.000000000,0.142857149
0.196669667,0.058832083,0.000000000,0.142857149
0.197457246,0.058832735,0.000000000,0.142857149
0.198244824,0.058833376,0.000000000,0.142857149
0.199032403,0.058834016,0.000000000,0.142857149
0.199819982,0.058834657,0.000000000,0.142857149
0.200607561,0.058835298,0.000000000,0.142857149
0.201395140,0.058835939,0.000000000,0.142857149
0.202182718,0.058836579,0.000000000,0.142857149
0.202970297,0.058837220,0.000000000,0.142857149
0.203757876,0.058837868,0.000000000,0.142857149
0.204545455,0.058907695,0.000000000,0.142857149
0.205333033,0.064562559,0.007246377,0.148514852
0.206120612,0.064562559,0.007246377,0.148514852
0.206908191,0.064562559,0.007246377,0.148514852
0.207695770,0.064562559,0.007246377,0.148514852
0.208483348,0.064562559,0.007246377,0.148514852
0.209270927,0.064562559,0.007246377,0.148514852
0.210058506,0.064562559,0.007246377,0.148514852
0.210846085,0.064562559,0.007246377,0.148514852
0.211633663,0.064562559,0.007246377,0.148514852
0.212421242,0.064562559,0.007246377,0.148514852
0.213208821,0.064562559,0.007246377,0.148514852
0.213996400,0.064562559,0.007246377,0.148514852
0.214783978,0.064562559,0.007246377,0.148514852
0.215571557,0.064562559,0.007246377,0.148514852
0.216359136,0.069334283,0.008130081,0.153153151
0.217146715,0.069334485,0.008130081,0.153153151
0.217934293,0.069334693,0.008130081,0.153153151
0.218721872,0.069334902,0.008130081,0.153153151
0.219509451,0.069335103,0.008130081,0.153153151
0.220297030,0.069335312,0.008130081,0.153153151
0.221084608,0.069335520,0.008130081,0.153153151
